"title","raw_content","type","system","tags","op_category","severity","owner_team"
"GL Daily Processing Workflow","End-to-end daily GL processing sequence. Step 1: ADF Pipelines complete Capricorn validates. Step 2: Clarity Bronze populated. Step 3: Clarity Silver transformed. Step 4: Canonical views built V_POLICY_CANON V_BILLING_CANON V_CLAIMS_CANON. Step 5: B&C Validations pass Aggne validates Policy and Billing. Step 6: SP_GL_AU_FULL_LOAD and SP_GL_NZ_FULL_LOAD execute. Step 7: GL Views refresh. Step 8: GL Balance Validation DB Team. Step 9: Reconciliation DB Team. Step 10: TRF Generation Aggne. Step 11: TRF submitted to Informatica Capricorn. STOP conditions apply at each step.","Process","Snowflake","GL,daily,workflow,processing","BusinessProcess","","Aggne"
"Monthly GLUE Processing Workflow","Monthly GL processing at month-end. Step 1 Freeze daily processing. Step 2 GLUE reconciliation extracts. Step 3 Validate GLUE completeness. Step 4 Monthly B&C validations Policy and Billing Aggne. Step 5 GL full month load AU and NZ. Step 6 Earned Premium validation DB Team. Step 7 Monthly Reconciliation DB Team. Step 8 GL Balancing sign-off DB Team. Step 9 Monthly TRF Aggne. Step 10 TRF to Informatica Capricorn. Step 11 Leadership sign-off and month close.","Process","Snowflake","GL,monthly,GLUE,workflow","BusinessProcess","HIGH","DB Team"
"Earned Premium Monthly Processing","Owner DB Team. Trigger end of month after GLUE run. Step 1 Extract premium from V_BILLING_CANON. Step 2 Calculate earned premium per policy period. Step 3 Validate against V_POLICY_CANON. Step 4 Run EM validation queries. Step 5 Post to GL_DETAIL_AU and GL_DETAIL_NZ. Step 6 Reconcile EM total against expected. STOP if variance exceeds tolerance invoke EM Failure Recovery.","Process","Snowflake","GL,earned-premium,EM,monthly","BusinessProcess","HIGH","DB Team"
"TRF Generation Process","Owner Aggne generation and Capricorn submission. Step 1 Trigger after GL Reconciliation passes. Step 2 Extract from V_GL_AU_ALL and V_GL_NZ_ALL. Step 3 Apply TRF transformation rules. Step 4 Validate TRF row count and amounts. Step 5 Decision gate Full match submit Partial match hold and escalate Full mismatch stop and alert. Step 6 Informatica API submission Capricorn. Step 7 Confirmation receipt.","Process","Snowflake","TRF,GL,Informatica,generation","BusinessProcess","CRITICAL","Aggne"
"GL Gate: B&C Validation Required","CRITICAL gate. Owner Aggne. Trigger GL processing start. Action Block GL SP execution until Policy B&C AND Billing B&C both pass. Stop Condition if either B&C fails do NOT execute SP_GL_AU_FULL_LOAD or SP_GL_NZ_FULL_LOAD. Recovery Failed Policy B&C Recovery or Failed Billing B&C Recovery.","OperationalRule","Snowflake","GL,validation,gate,B&C","StopCondition","CRITICAL","Aggne"
"ADF Pipeline Completion Gate","CRITICAL gate. Owner Capricorn/Informatica. Action All ADF pipelines must show SUCCESS before Clarity Bronze is populated. Stop Condition any pipeline FAILED halt processing and alert Capricorn. Recovery ADF Pipeline Failure Recovery.","OperationalRule","Snowflake","ADF,pipeline,gate,Bronze","StopCondition","CRITICAL","Capricorn/Informatica"
"Canonical View Completeness Gate","HIGH severity gate. Owner Aggne. Trigger before GL SP execution. Action V_POLICY_CANON V_BILLING_CANON V_CLAIMS_CANON must all have non-zero row counts. Stop Condition any canonical view empty stop GL and investigate Silver layer. Recovery ADF Pipeline Failure Recovery or escalate to Capricorn.","OperationalRule","Snowflake","canonical,view,gate,completeness","ValidationRule","HIGH","Aggne"
"Partial TRF Hold Decision Rule","HIGH severity. Decision Type STOP. Trigger TRF validation shows partial match. Steps 1 Hold TRF submission 2 Flag mismatched rows 3 Notify DB Team lead and Aggne GL lead 4 Escalate to leadership if unresolved in 2 hours. Recovery Partial TRF Recovery.","OperationalRule","Snowflake","TRF,partial,hold,decision","StopCondition","HIGH","Aggne"
"Full TRF Hold Decision Rule","CRITICAL decision. Decision Type STOP. Trigger TRF full mismatch. Steps 1 STOP all TRF immediately 2 Alert leadership within 15 minutes 3 Engage Aggne GL lead and DB Team and Capricorn 4 Do not resubmit without DB Team sign-off. Recovery GL Reconciliation Failure Recovery.","OperationalRule","Snowflake","TRF,full,hold,CRITICAL","StopCondition","CRITICAL","DB Team"
"Policy B&C Validation Rule","Owner Aggne. Checks: Policy transaction count in expected range. No null policy_ids. Effective dates within processing window. Premium amounts sum to expected total. SQL: SELECT COUNT(*) SUM(premium_amount) FROM V_POLICY_CANON WHERE processing_date={run_date} AND policy_id IS NOT NULL. Failure Action Failed Policy B&C Recovery.","ValidationRule","Snowflake","Policy,B&C,validation,GL","ValidationRule","CRITICAL","Aggne"
